dataset,repeat,fold,sample,seed,problem_type,sampler,sampler_method,requested_fraction,retained_fraction,n_train_full,n_train_sampled,accuracy,baseline_accuracy,accuracy_delta,rmse,baseline_rmse,rmse_delta,quality_delta,sampling_seconds,fit_seconds,predict_seconds,measured_total_seconds,predict_speedup,total_speedup
concrete_compressive_strength,0,0,0,0,regression,stratified-25,stratified,0.25,0.25072886297376096,686,172,,,,5.296425617564492,3.9098516584603376,1.3865739591041546,-1.3865739591041546,0.0022334172390401363,0.01960408315062523,81.59408016689122,81.61591766728088,2.6371137318982156,2.6366864846029645
concrete_compressive_strength,0,0,0,0,regression,knn-75,knn,0.75,0.750728862973761,686,515,,,,4.287282865025409,3.9098516584603376,0.37743120656507134,-0.37743120656507134,0.014516332652419806,0.019459125120192766,155.64707458391786,155.68105004169047,1.382440818916267,1.3822850435821168
concrete_compressive_strength,0,0,0,0,regression,random-75,random,0.75,0.750728862973761,686,515,,,,4.416281880343056,3.9098516584603376,0.5064302218827184,-0.5064302218827184,0.0016933339647948742,0.030687083024531603,161.21667712461203,161.24905754160136,1.3346812072264418,1.334554076300685
concrete_compressive_strength,0,0,0,0,regression,random-50,random,0.5,0.5,686,343,,,,5.321626367832193,3.9098516584603376,1.4117747093718558,-1.4117747093718558,0.00516162533313036,0.02941358322277665,114.91996849980205,114.95454370835796,1.872371460405363,1.8720059259923072
concrete_compressive_strength,0,0,0,1,regression,knn-50,knn,0.5,0.5,686,343,,,,4.8203523374427615,3.8712324378299483,0.9491198996128132,-0.9491198996128132,0.016096916049718857,0.018128833267837763,115.79642112506554,115.83064687438309,1.87875910343932,1.878510014375997
concrete_compressive_strength,0,0,0,1,regression,random-75,random,0.75,0.750728862973761,686,515,,,,3.995919351689105,3.8712324378299483,0.12468691385915687,-0.12468691385915687,0.0018924577161669731,0.027900457847863436,160.3284521251917,160.35824504075572,1.3569243478040593,1.3568933114095707
concrete_compressive_strength,0,0,0,1,regression,stratified-50,stratified,0.5,0.5,686,343,,,,4.487357524924292,3.8712324378299483,0.6161250870943435,-0.6161250870943435,0.0021107089705765247,0.02319620829075575,117.67892054188997,117.7042274591513,1.848704758104642,1.8486084554668323
concrete_compressive_strength,0,0,0,1,regression,stratified-75,stratified,0.75,0.750728862973761,686,515,,,,4.427264269500037,3.8712324378299483,0.5560318316700883,-0.5560318316700883,0.0021150000393390656,0.020439125131815672,159.89073595777154,159.9132900829427,1.3606390578617873,1.360668835043797
concrete_compressive_strength,0,0,0,1,regression,random-50,random,0.5,0.5,686,343,,,,5.071838708896347,3.8712324378299483,1.2006062710663983,-1.2006062710663983,0.00906770909205079,0.03723549982532859,114.99728262517601,115.04358583409339,1.8918149661284407,1.8913616830317495
concrete_compressive_strength,0,0,0,1,regression,random-25,random,0.25,0.25072886297376096,686,172,,,,6.08334809005573,3.8712324378299483,2.2121156522257817,-2.2121156522257817,0.006118000019341707,0.03274054080247879,83.3606415418908,83.39950008271262,2.6097877404780285,2.608996815441117
concrete_compressive_strength,0,0,0,1,regression,full,full,1.0,1.0,686,686,,,,3.8712324378299483,3.8712324378299483,0.0,0.0,0.0006384579464793205,0.03481133282184601,217.55358033441007,217.5890301251784,1.0,1.0
concrete_compressive_strength,0,0,0,1,regression,knn-75,knn,0.75,0.750728862973761,686,515,,,,4.263557565114011,3.8712324378299483,0.3923251272840629,-0.3923251272840629,0.03326404094696045,0.017834958154708147,161.50337229203433,161.554471291136,1.3470528648839877,1.3468462270726198
concrete_compressive_strength,0,0,0,1,regression,stratified-25,stratified,0.25,0.25072886297376096,686,172,,,,5.4384612004907,3.8712324378299483,1.5672287626607515,-1.5672287626607515,0.012326416093856096,0.0247597498819232,82.33047058293596,82.36755674891174,2.6424430565504484,2.6416836763590568
airfoil_self_noise,0,0,0,0,regression,full,full,1.0,1.0,1002,1002,,,,0.9294432072632245,0.9294432072632245,0.0,0.0,0.00014354102313518524,0.023648125119507313,359.9820231674239,360.00581483356655,1.0,1.0
airfoil_self_noise,0,0,0,0,regression,stratified-75,stratified,0.75,0.7504990019960079,1002,752,,,,1.1267271858069854,0.9294432072632245,0.1972839785437609,-0.1972839785437609,0.011388000100851059,0.033009459264576435,268.3838134580292,268.4282109173946,1.3412955816119632,1.3411623674098614
airfoil_self_noise,0,0,0,0,regression,knn-50,knn,0.5,0.5,1002,501,,,,1.338527787397495,0.9294432072632245,0.4090845801342705,-0.4090845801342705,0.05550391599535942,0.019532041158527136,199.82105912454426,199.89609508169815,1.8015219454074392,1.8009647196281202
airfoil_self_noise,0,0,0,0,regression,random-50,random,0.5,0.5,1002,501,,,,1.5349443370944162,0.9294432072632245,0.6055011298311918,-0.6055011298311918,0.004345667082816362,0.021359500009566545,199.04497720766813,199.0706823747605,1.8085461297114096,1.8084321133527719
airfoil_self_noise,0,0,0,0,regression,stratified-25,stratified,0.25,0.250499001996008,1002,251,,,,2.063567699555585,0.9294432072632245,1.1341244922923606,-1.1341244922923606,0.0025855409912765026,0.01810466730967164,120.76355745829642,120.78424766659737,2.980882898317544,2.9805692529318573
airfoil_self_noise,0,0,0,0,regression,random-75,random,0.75,0.7504990019960079,1002,752,,,,1.0709589616477693,0.9294432072632245,0.14151575438454478,-0.14151575438454478,0.001239333301782608,0.02479220787063241,456.15280362498015,456.17883516615257,0.7891698139454564,0.7891769347485023
